inicio de conexion;cliente1; 1688921424
inicio de conexion;cliente2; 1688921425
inicio de conexion;cliente3; 1688921427
ce3f6574-1e78-11ee-a424-557cb373497c; 1688921470; buscar por productos; ini; 1688921470; cliente1; 1688921470
ce3f6574-1e78-11ee-a424-557cb373497c; 1688921470; buscar por productos; fin; 1688921470; cliente1; 1688921470
ce41ef9c-1e78-11ee-a424-557cb373497c; 1688921470; buscar por productos; ini; 1688921470; cliente3; 1688921470
ce41ef9c-1e78-11ee-a424-557cb373497c; 1688921470; buscar por productos; fin; 1688921470; cliente3; 1688921470
ce410898-1e78-11ee-a424-557cb373497c; 1688921470; buscar por productos; ini; 1688921470; cliente2; 1688921470
ce410898-1e78-11ee-a424-557cb373497c; 1688921470; buscar por productos; fin; 1688921470; cliente2; 1688921470
dcd0c600-1e78-11ee-a424-557cb373497c; 1688921494; buscar por productos; ini; 1688921494; cliente3; 1688921494
dcd0c600-1e78-11ee-a424-557cb373497c; 1688921494; buscar por productos; fin; 1688921494; cliente3; 1688921494
dcd00526-1e78-11ee-a424-557cb373497c; 1688921494; buscar por productos; ini; 1688921494; cliente2; 1688921494
dcd00526-1e78-11ee-a424-557cb373497c; 1688921494; buscar por productos; fin; 1688921494; cliente2; 1688921494
dccf8510-1e78-11ee-a424-557cb373497c; 1688921494; buscar por productos; ini; 1688921495; cliente1; 1688921495
dccf8510-1e78-11ee-a424-557cb373497c; 1688921494; buscar por productos; fin; 1688921495; cliente1; 1688921495
df21751c-1e78-11ee-a424-557cb373497c; 1688921498; buscar por productos; ini; 1688921498; cliente1; 1688921498
df21751c-1e78-11ee-a424-557cb373497c; 1688921498; buscar por productos; fin; 1688921498; cliente1; 1688921498
df2302e2-1e78-11ee-a424-557cb373497c; 1688921498; buscar por productos; ini; 1688921498; cliente3; 1688921498
df2302e2-1e78-11ee-a424-557cb373497c; 1688921498; buscar por productos; fin; 1688921498; cliente3; 1688921498
df21fae6-1e78-11ee-a424-557cb373497c; 1688921498; buscar por productos; ini; 1688921498; cliente2; 1688921498
df21fae6-1e78-11ee-a424-557cb373497c; 1688921498; buscar por productos; fin; 1688921498; cliente2; 1688921498
e1c61930-1e78-11ee-a424-557cb373497c; 1688921502; buscar por productos; ini; 1688921502; cliente2; 1688921502
e1c61930-1e78-11ee-a424-557cb373497c; 1688921502; buscar por productos; fin; 1688921502; cliente2; 1688921502
e1c557ac-1e78-11ee-a424-557cb373497c; 1688921502; buscar por productos; ini; 1688921503; cliente1; 1688921503
e1c557ac-1e78-11ee-a424-557cb373497c; 1688921502; buscar por productos; fin; 1688921503; cliente1; 1688921503
e1c6c376-1e78-11ee-a424-557cb373497c; 1688921502; buscar por productos; ini; 1688921503; cliente3; 1688921503
e1c6c376-1e78-11ee-a424-557cb373497c; 1688921502; buscar por productos; fin; 1688921503; cliente3; 1688921503
e3edac00-1e78-11ee-a424-557cb373497c; 1688921506; buscar por productos; ini; 1688921506; cliente1; 1688921506
e3edac00-1e78-11ee-a424-557cb373497c; 1688921506; buscar por productos; fin; 1688921506; cliente1; 1688921506
e3ef69c8-1e78-11ee-a424-557cb373497c; 1688921506; buscar por productos; ini; 1688921506; cliente3; 1688921506
e3ef69c8-1e78-11ee-a424-557cb373497c; 1688921506; buscar por productos; fin; 1688921506; cliente3; 1688921506
e3eea772-1e78-11ee-a424-557cb373497c; 1688921506; buscar por productos; ini; 1688921506; cliente2; 1688921506
e3eea772-1e78-11ee-a424-557cb373497c; 1688921506; buscar por productos; fin; 1688921506; cliente2; 1688921506
e5deb162-1e78-11ee-a424-557cb373497c; 1688921509; buscar por productos; ini; 1688921509; cliente2; 1688921509
e5deb162-1e78-11ee-a424-557cb373497c; 1688921509; buscar por productos; fin; 1688921509; cliente2; 1688921509
e5de10ea-1e78-11ee-a424-557cb373497c; 1688921509; buscar por productos; ini; 1688921510; cliente1; 1688921510
e5de10ea-1e78-11ee-a424-557cb373497c; 1688921509; buscar por productos; fin; 1688921510; cliente1; 1688921510
e5dfd0c4-1e78-11ee-a424-557cb373497c; 1688921509; buscar por productos; ini; 1688921510; cliente3; 1688921510
e5dfd0c4-1e78-11ee-a424-557cb373497c; 1688921509; buscar por productos; fin; 1688921510; cliente3; 1688921510
e81b4e90-1e78-11ee-a424-557cb373497c; 1688921513; buscar por productos; ini; 1688921513; cliente1; 1688921513
e81b4e90-1e78-11ee-a424-557cb373497c; 1688921513; buscar por productos; fin; 1688921513; cliente1; 1688921513
e81d09ec-1e78-11ee-a424-557cb373497c; 1688921513; buscar por productos; ini; 1688921513; cliente3; 1688921513
e81d09ec-1e78-11ee-a424-557cb373497c; 1688921513; buscar por productos; fin; 1688921513; cliente3; 1688921513
e81c3dfa-1e78-11ee-a424-557cb373497c; 1688921513; buscar por productos; ini; 1688921513; cliente2; 1688921513
e81c3dfa-1e78-11ee-a424-557cb373497c; 1688921513; buscar por productos; fin; 1688921513; cliente2; 1688921513
eb0ca806-1e78-11ee-a424-557cb373497c; 1688921518; buscar por productos; ini; 1688921518; cliente1; 1688921518
eb0ca806-1e78-11ee-a424-557cb373497c; 1688921518; buscar por productos; fin; 1688921518; cliente1; 1688921518
eb0e7e4c-1e78-11ee-a424-557cb373497c; 1688921518; buscar por productos; ini; 1688921518; cliente3; 1688921518
eb0e7e4c-1e78-11ee-a424-557cb373497c; 1688921518; buscar por productos; fin; 1688921518; cliente3; 1688921518
eb0dff44-1e78-11ee-a424-557cb373497c; 1688921518; buscar por productos; ini; 1688921518; cliente2; 1688921518
eb0dff44-1e78-11ee-a424-557cb373497c; 1688921518; buscar por productos; fin; 1688921518; cliente2; 1688921518
eeb39780-1e78-11ee-a424-557cb373497c; 1688921524; buscar por productos; ini; 1688921524; cliente1; 1688921524
eeb39780-1e78-11ee-a424-557cb373497c; 1688921524; buscar por productos; fin; 1688921524; cliente1; 1688921524
eeb53cca-1e78-11ee-a424-557cb373497c; 1688921524; buscar por productos; ini; 1688921524; cliente3; 1688921524
eeb53cca-1e78-11ee-a424-557cb373497c; 1688921524; buscar por productos; fin; 1688921524; cliente3; 1688921524
eeb4987e-1e78-11ee-a424-557cb373497c; 1688921524; buscar por productos; ini; 1688921524; cliente2; 1688921524
eeb4987e-1e78-11ee-a424-557cb373497c; 1688921524; buscar por productos; fin; 1688921524; cliente2; 1688921524
f19e5ae8-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; ini; 1688921529; cliente1; 1688921529
f19e5ae8-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; fin; 1688921529; cliente1; 1688921529
f1a0000a-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; ini; 1688921529; cliente3; 1688921529
f1a0000a-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; fin; 1688921529; cliente3; 1688921529
f19f2112-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; ini; 1688921529; cliente2; 1688921529
f19f2112-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; fin; 1688921529; cliente2; 1688921529
f475ddae-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; ini; 1688921534; cliente1; 1688921534
f475ddae-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; fin; 1688921534; cliente1; 1688921534
f4770cd8-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; ini; 1688921534; cliente3; 1688921534
f4770cd8-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; fin; 1688921534; cliente3; 1688921534
f4767778-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; ini; 1688921534; cliente2; 1688921534
f4767778-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; fin; 1688921534; cliente2; 1688921534
f76f3d8e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; ini; 1688921539; cliente1; 1688921539
f76f3d8e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; fin; 1688921539; cliente1; 1688921539
f770850e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; ini; 1688921539; cliente3; 1688921539
f770850e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; fin; 1688921539; cliente3; 1688921539
f76fff76-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; ini; 1688921539; cliente2; 1688921539
